[33-38][raw_rssi]:241, [spredRSSI]:245, [raw_data]:0
[33-39][raw_rssi]:241, [spredRSSI]:245, [raw_data]:0
[pilot][33-40][raw_rssi]:241, [spredRSSI]:245, [raw_data]:0
[33-41][raw_rssi]:241, [spredRSSI]:244, [raw_data]:0
[33-42][raw_rssi]:241, [spredRSSI]:244, [raw_data]:0
[33-43][raw_rssi]:241, [spredRSSI]:242, [raw_data]:8c
[33-44][raw_rssi]:242, [spredRSSI]:242, [raw_data]:bf
[33-45][raw_rssi]:242, [spredRSSI]:239, [raw_data]:1
[33-46][raw_rssi]:241, [spredRSSI]:238, [raw_data]:20
[33-47][raw_rssi]:241, [spredRSSI]:237, [raw_data]:c5
[pilot][33-48][raw_rssi]:241, [spredRSSI]:237, [raw_data]:f6
[33-49][raw_rssi]:241, [spredRSSI]:238, [raw_data]:b2
[33-50][raw_rssi]:241, [spredRSSI]:240, [raw_data]:2c
[33-51][raw_rssi]:241, [spredRSSI]:242, [raw_data]:e0
[33-52][raw_rssi]:241, [spredRSSI]:242, [raw_data]:0
[33-53][raw_rssi]:241, [spredRSSI]:244, [raw_data]:0
[33-54][raw_rssi]:241, [spredRSSI]:245, [raw_data]:0
[33-55][raw_rssi]:241, [spredRSSI]:245, [raw_data]:0
[pilot][33-56][raw_rssi]:241, [spredRSSI]:245, [raw_data]:0
[33-57][raw_rssi]:241, [spredRSSI]:245, [raw_data]:30
[33-58][raw_rssi]:241, [spredRSSI]:245, [raw_data]:fd
[33-59][raw_rssi]:242, [spredRSSI]:244, [raw_data]:1f
[33-60][raw_rssi]:241, [spredRSSI]:244, [raw_data]:ca
[33-61][raw_rssi]:241, [spredRSSI]:243, [raw_data]:ed
[33-62][raw_rssi]:241, [spredRSSI]:240, [raw_data]:8b
[33-63][raw_rssi]:241, [spredRSSI]:238, [raw_data]:7e
[pilot][33-64][raw_rssi]:241, [spredRSSI]:237, [raw_data]:85
[33-65][raw_rssi]:239, [spredRSSI]:237, [raw_data]:0
[33-66][raw_rssi]:237, [spredRSSI]:240, [raw_data]:d
[33-67][raw_rssi]:234, [spredRSSI]:242, [raw_data]:0
[33-68][raw_rssi]:232, [spredRSSI]:244, [raw_data]:0
[33-69][raw_rssi]:233, [spredRSSI]:244, [raw_data]:0
[33-70][raw_rssi]:233, [spredRSSI]:245, [raw_data]:b0
[33-71][raw_rssi]:233, [spredRSSI]:245, [raw_data]:a8
[pilot][33-72][raw_rssi]:233, [spredRSSI]:245, [raw_data]:dc
[33-73][raw_rssi]:233, [spredRSSI]:245, [raw_data]:f9
[33-74][raw_rssi]:233, [spredRSSI]:245, [raw_data]:a7
[33-75][raw_rssi]:233, [spredRSSI]:244, [raw_data]:42
[33-76][raw_rssi]:233, [spredRSSI]:243, [raw_data]:af
[33-77][raw_rssi]:235, [spredRSSI]:243, [raw_data]:4f
[33-78][raw_rssi]:238, [spredRSSI]:242, [raw_data]:90
[33-79][raw_rssi]:240, [spredRSSI]:242, [raw_data]:c
[pilot][33-80][raw_rssi]:242, [spredRSSI]:243, [raw_data]:0
[33-81][raw_rssi]:242, [spredRSSI]:244, [raw_data]:42
[33-82][raw_rssi]:242, [spredRSSI]:244, [raw_data]:85
[33-83][raw_rssi]:242, [spredRSSI]:246, [raw_data]:b4
[33-84][raw_rssi]:-1, [spredRSSI]:246, [raw_data]:76
[33-85][raw_rssi]:-1, [spredRSSI]:246, [raw_data]:8
[33-86][raw_rssi]:-1, [spredRSSI]:246, [raw_data]:a9
[33-87][raw_rssi]:-1, [spredRSSI]:245, [raw_data]:9e
[pilot][33-88][raw_rssi]:-1, [spredRSSI]:244, [raw_data]:75
[33-89][raw_rssi]:-1, [spredRSSI]:243, [raw_data]:f0
[33-90][raw_rssi]:-1, [spredRSSI]:243, [raw_data]:0
[33-91][raw_rssi]:-1, [spredRSSI]:240, [raw_data]:0
[33-92][raw_rssi]:-1, [spredRSSI]:239, [raw_data]:0
[33-93][raw_rssi]:-1, [spredRSSI]:236, [raw_data]:0
[33-94][raw_rssi]:-1, [spredRSSI]:236, [raw_data]:f0
[33-95][raw_rssi]:-1, [spredRSSI]:239, [raw_data]:ce
[pilot][34-0][raw_rssi]:236, [spredRSSI]:246, [raw_data]:0
[34-1][raw_rssi]:236, [spredRSSI]:246, [raw_data]:0
[34-2][raw_rssi]:236, [spredRSSI]:246, [raw_data]:0
[34-3][raw_rssi]:237, [spredRSSI]:246, [raw_data]:0
[34-4][raw_rssi]:237, [spredRSSI]:246, [raw_data]:0
[34-5][raw_rssi]:236, [spredRSSI]:246, [raw_data]:0
