[3-5][est]:0.276607558929, [payload]:d2, [Metric-RSSI]:[0]0,[1]0,[2]0 
[3-6][est]:0.276607558929, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]1 
[3-7][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-8][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-9][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-10][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-11][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-12][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-13][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-14][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-15][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-16][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-17][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-18][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-19][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-20][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-21][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-22][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-23][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-24][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-25][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-26][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-27][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-28][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-29][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-30][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-31][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-32][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
