[2-50][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-51][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-52][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-53][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-54][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-55][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-56][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-57][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-58][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-59][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-60][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-61][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-62][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-63][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-64][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-65][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-66][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-67][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-68][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-69][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-70][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-71][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-72][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-73][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-74][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-75][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
